Issue key,Description,Environment
UAV-160,"When a GCS requests activation of a newly detected UAV, the GCSMiddleware shall forward the request to Dronology.",
UAV-1138,"As a Drone operator, I want all activated drones to have a geographically valid activated geo-fence",
UAV-1139,"As a Drone technician, I want all active hardware to be automatically detected and made available for lookup.",
UAV-979,"All UAVs shall have failsafe mechanisms that enable them to independently make basic land-in-place, stop in place, and RTL decisions in case of emergency.",
UAV-1074,Waypoints that are dynamically generated by dronology are assigned altitudes above ground level.,
UAV-1073,Flight routes imported using the mission planner interface are constructed using the Dronology UI.,
UAV-1037,All routes are carefully planned and tested in the simulator and any violation of the MINIMUM SEPARATION DISTANCE shall be reported in the simulator log. ,
UAV-1122,All routes are carefully planned and tested in the simulator by the Dronology operator prior to physical flights to ensure minimum separation of UAVs by at least 8 meters vertical or horizontal distance at all times.,
UAV-1010,All waypoints in flight routes assigned to UAV must be at least 3 meters above the highest terrain in the flying zone,
UAV-1026,"When the user saves a new mapping for the first time, prompt them to select upstream. This will be used for Keith's algorithm.",
UAV-1070,"When the user has selected a mapping, they should be able to create a sub-mapping, wherein they draw a rectangle around a desired area. Then a new mapping will be generated that contains everything contained within the rectangle.",
UAV-235,"When the GCS loses the connection to an UAV, the GCS shall attempt to reconnect",
UAV-1145,"As a developer, I want to explore different angular Maps libraries to pick the best one based on flexibility and usability and integrate it in DroneResponse.",
UAV-646,The RouteAssignmentUI shall provide means to select an existing routes and assign them to a UAV.,
UAV-101,"If a UAV has pending flight plans, then when it reaches the final waypoint of its current flight plan, the SingleUAVFlightPlanScheduler shall execute the next assigned flight plan.",
UAV-244,Asynchronous Send and Transmit,
UAV-1044,Automate the process of generating routes for river search in a predefined section of the river.,
UAV-551,"If a scheduled flight is not manually assigned to a UAV, the SingleUAVFlightPlanScheduler shall assign the route automatically to an UAV",
UAV-862,"When in Mission Planning mode, the takeoff and positioning of all UAVs at the start of their first assigned routes shall be choreographed to avoid collisions.					",
UAV-952,Battery voltage checked manually prior to takeoff,
UAV-984,The UI shall display the available battery percentage for each UAV in flight.,
UAV-517,When given two coordinates the CoordinateSystem shall compute the direction from the first coordinate to the second coordinate.,
UAV-516,When given two coordinates the CoordinateSystem shall compute the distance between them.,
UAV-545,"When requested, if a mission is currently active, the MissionPlanner shall cancel the active mission.",
UAV-558,"If requested, the SingleUAVFlightPlanScheduler shall abort the currently executing flight plan of an UAV",
UAV-659,When a user shall cancels a pending flight plan the RouteAssignmentUI shall notify Dronology.,
UAV-966,"Avoid all fixed obstacles such as trees on the bank, bridges etc when planning routes. Check all routes on the simulator prior to flight.",
UAV-953,"RPIC is responsible for checking that the UAV battery's voltage is greater than, or equal to, the minimum takeoff threshold for that UAV type.",
UAV-954,RPIC is responsible for assuring that the hand-held controller's voltage is greater than the minimum takeoff threshold prior to takeoff.,
UAV-447,"When in Mission Planning mode, the takeoff of all UAVs and their movements to the first assigned waypoint shall be free of collisions.",
UAV-126,The ObjectAvoidance system only issues commands within the capabilities of the UAV,
UAV-709,The GCSMiddleware shall handle multiple GCS ,
UAV-1219,As a Drone Technician I want to power a Raspbery Pi from the Drone power supply and establish a direct connection from the Pixhawk 1 controller to the Pi in order to send commands and receive state messages.,
UAV-736,"When the connection to the GCS from the GCSMiddleware is lost, the GCSMiddleware shall notify Dronology and deactivate all associated UAVs.",
UAV-988,Control is only ceded to handheld GCS upon request by the user,
UAV-1267,As a drone operator I need drones to coordinate simple flight behavior autonomously ,
UAV-510,"When requested, the CoordinateSystem shall transform coordinates to alternate formats.",
UAV-1093,"The advanced flights tab will extend the active flights tab. It will allow for more options. For now, just implement the drawing and creation of geofences.",
UAV-1166,"Design a UI that meets requirements elicited from the SBFD by displaying all appropriates components. 
e.g., these could include maps, drone state, and video etc.",
UAV-587,When a UAV is deactivated the UAVActivationManager shall cancel all current and scheduled flight plans,
UAV-677,The RouteCreationUI shall allow a user to delete a route.,
UAV-655,"When a UAV is selected, the RouteAssignmentUI shall display its active flight plans.",
UAV-651,"When requested by the user, the RouteAssignmentUI shall display details about the selected UAV and its flight plans.",
UAV-679,When the RouteCreationUI is loaded a list of all existing routes shall be displayed.,
UAV-681,The RealTimeFlightUI shall display the name and status of all currently activated UAVs,
UAV-689,The RealTimeFlightUI shall display all currently active flight plans on the map.,
UAV-1190,As a DroneResponse user I want the current state of all active drones to be displayed and actively updated on the map.,
UAV-114,"When the RealTimeFlightUI is loaded, a map shall be displayed.",
UAV-1299,"As an Incident Commander, he should be able to see the summary of the mission on the dashboard of the application so that he can coordinate instruct the drone operator to take necessary actions.",
UAV-1163,As a user I want to view the current state of the mission on a single screen.,
UAV-664,"The RouteCreationUI shall distinguish between starting, ending, and intermediate waypoint markers.",
UAV-1352,"As a drone commander, I want to mark the search area on the map so that all the drones participating in the mission can automatically assign a search route to themselves and start searching the marked area.",
UAV-1269,As a drone operator I need to track multiple drones in the air and assume manual control over any of them at any time I deem necessary.,
UAV-1259,As a drone operator I need to have a list of all active sensors and cameras available onboard each UAV,
UAV-1153,As a drone I need awareness of all other drones in the communication network.,
UAV-1164,"The mission state shall be displayed in a single view containing a map, video streams, and drones status.",
UAV-1033,Dronology shall be activated each time it is used and deactivated at the end of the session.,
UAV-1034,Dronology operator will manually disable GCS in case of unknown UAV activation,
UAV-717,DummyRootTask GCS,
UAV-159,Each UAV in-flight must be bound to one and only one control client,
UAV-698,The RealTimeFlightUI shall notify users when an emergency occurs.,
UAV-693,"The RealTimeFlightUI shall allow users to perform emergency operations (e.g. hovering multiple UAVs, sending multiple UAVs to home) to a group of UAVs",
UAV-589,"When the maximum numbers of allowed activated UAVs has been reached, the UAVActivationManager shall reject any further activation requests.",
UAV-458,The systems shall prevent UAVs from flying outside a predefined area.,
UAV-547,"When requested, the SingleUAVFlightPlanScheduler shall schedule a route for execution.",
UAV-523,"If a flight route is assigned to a UAV which is currently hovering in place, the FlightManager shall assign the route and maintain the hover in place mode.",
UAV-501,The FlightRouteManager shall define flight routes as an ordered sequence of waypoints in which the first waypoint represents the first target location and the final waypoint represents the final target location.,
UAV-505,The FlightRouteManager shall persist flight routes.,
UAV-695,The RealTimeFlightUI shall allow users to follow one or multiple UAVs on the map.,
UAV-739,"When the GCS receives a UAV command from the GCSMiddleware , the GCS shall forward the command to the respective UAV.",
UAV-702,When a new monitoring message is received the DronologyRuntimeMonitor shall forward the message to all subscribed clients,
UAV-751,The GCS shall transmit the UAV's current location to the GCSMiddleware ,
UAV-754,The GCS shall transmit the UAV's properties to the GCSMiddleware ,
UAV-1048,"Given a region of the river demarcated by both river banks, generate flight routes that cover river banks, central parts of the river, and priority areas.",
UAV-1100,Ground Station Middleware handles all communication between Dronology and external GCSs.,
UAV-714,The GCSMiddleware  shall follow a predefined set of steps to establish a connection between a GCS and Dronology,
UAV-555,"If a UAV does not have any pending flight plans, then when it reaches the final waypoint of its current flight plan, the SingleUAVFlightPlanScheduler shall notify the UAV to hover in place.",
UAV-456,"If a UAV has lost connectivity with the GCS and has no currently assigned waypoint, then it shall hover in place until it receives a further command.",
UAV-961,All UAVs used will have basic capabilities commensurate with 3DR Iris+,
